"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"151675","FRB 20240318A","10:01:50.600","+37:36:49.10","FRB","","256.4","0.3","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","240318","","","1","1","","0","Other-","2024-03-18 15:14:19.454","Shannon","","2024TNSFR1587....1S","",""
"151674","FRB 20240304A","09:05:19.300","-16:13:41.50","FRB","","652.6","0.5","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","240304","","","1","1","","0","Other-","2024-03-04 17:44:55.155","Shannon","","2024TNSFR1587....1S","",""
"147950","FRB 20240229A","11:34:56.311","+71:47:01.68","FRB","","491.554","","pc/cc","","","","","","","DSA-110","DSA-110","","DSA-110","240229aaad","","","1","1","2024-04-01","","","2024-02-29 08:54:10.273","DSA-110","","2024TNSFR.905....1L","",""
"151673","FRB 20240210A","00:39:55.040","-27:39:34.78","FRB","","283.73","0.05","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB240210A","","","1","1","","0","Other-","2024-02-10 08:20:02.510","Shannon","","2024TNSFR1586....1S","",""
"144966","FRB 20240124A","21:33:56.568","+04:29:04.59","FRB","","526.9","","pc/cc","","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","354780901","","","1","1","2024-02-01","","","2024-01-24 21:20:11.040","Abbott","","2024TNSFR.330....1A","",""
"144953","FRB 20240121A","21:34:10.361","+04:29:07.84","FRB","","527.708","","pc/cc","","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","354004415","","","1","1","2024-02-01","","","2024-01-21 21:30:40.204","Abbott","","2024TNSFR.330....1A","",""
"144965","FRB 20240114A","21:28:16.869","+04:29:02.60","FRB","","528.113","","pc/cc","","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","352286407","","","1","1","2024-02-01","","","2024-01-14 21:50:39.024","Abbott","","2024TNSFR.330....1A","",""
"151790","AT 2024jgo","10:21:46.336","-15:41:15.58","","","","","","","","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24cvl","PS2 - GPC2","","1","1","","19.14","i-P1","2024-05-22 06:15:40.032","YSE_Bot1","","","",""
"151789","AT 2024jgn","16:38:17.358","+39:51:08.82","","","","","","","","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24cvk","PS2 - GPC2","","1","1","","20.06","r-P1","2024-05-22 12:52:12.000","YSE_Bot1","","","",""
"151788","AT 2024jgm","16:48:53.613","+52:54:34.44","","","","","","","","","","","","YSE","Pan-STARRS","","Pan-STARRS; YSE","PS24cvh","PS2 - GPC2","","1","1","","19.47","i-P1","2024-05-23 12:54:31.104","YSE_Bot1","","","",""
